"JID","annotation_priority","contract_price_selected","contract_score","delay_days_selected","delay_score","claimed_penalty_selected","claimed_score","allowed_penalty_selected","allowed_score","is_reduced","ratio_valid"
"TPDV,103,建,430,20220531,1","","35802452","12","150","13","27160490","21","3395567","22","1","1"
"TPDV,111,建,72,20231130,1","","94818308","20","54","7","4930552","21","4930552","27","0","1"
"TPDV,105,建,293,20221130,3","","","","30","12","6231023","15","6230650","27","1","1"
"TPHV,110,建上,9,20221230,1","","68832878","12","614","13","83819608","21","83819608","27","0","1"
"TNHV,110,建上,18,20251226,1","","23186007","20","1","11","97242922","15","25529868","22","1","1"
"TPHV,109,建上,30,20220803,2","","53390000","20","900","13","78197142","21","35663175","27","1","1"
"TPHV,109,建上,31,20220803,2","","53390000","20","900","13","78197142","21","35663175","27","1","1"
"KSHV,109,建上,26,20220309,1","","15050756","20","210","18","16067589","21","12007487","27","1","1"
"CYDV,111,建,2,20240607,3","","3600000","12","176","12","3600000","21","300000","27","1","1"
"TPDV,105,建,330,20231027,2","","71099123","0","483","6","18600000","15","17196529","22","1","1"
"TCDV,107,建,70,20220317,4","","99696316","20","145","7","9977357","21","9977357","27","0","1"
"TPDV,114,建,6,20250912,1","","50921424","20","47","1","10184284","21","8628252","22","1","1"
"CYDV,114,重訴,12,20251230,1","","370028888","5","60","7","16946000","21","16946000","27","0","1"
"TCDV,109,建,95,20210415,1","","","","50","12","600000","15","","","1","0"
"TPDV,109,建,151,20221031,2","","50700000","12","117","18","29893589","21","29893589","27","0","1"
"TPDV,107,建,250,20230331,1","","429506776","20","661","6","429506776","15","8409800","27","1","1"
"TPDV,112,建,114,20250430,1","","63000000","20","18","7","52442727","21","47917344","22","1","1"
"KSHV,107,建上,26,20260415,2","","62429041","20","31","7","95595962","21","42492075","27","1","1"
"TNHV,109,建上更一,3,20210420,1","","28051067","20","88","12","28051067","15","2468488","27","1","1"
"TCDV,110,建,142,20231222,1","","68645354","0","518","18","72871926","21","72871926","27","0","1"
"TPDV,110,重訴,616,20230609,2","","513965000","20","133","12","18645200","15","18645200","14","0","1"
"TNHV,109,建上,22,20221011,1","","37300000","5","210","12","440838","21","396754","27","1","1"
"TPHV,109,建上,85,20250422,1","","5139668","20","200","7","46792515","21","8826","27","1","1"
"TNHV,112,建上,25,20250213,1","","52507589","5","20","13","13348403","21","13348403","27","0","1"
"TPDV,105,建,400,20211227,1","","64808307","0","383","1","64808307","6","64808307","22","0","1"
"TCHV,112,建上,55,20240918,1","","58103549","20","435","12","45345522","15","45345522","27","0","1"
"TPDV,109,建,376,20210528,1","","18062990","0","376","18","9033281","21","9033281","27","0","1"
"PCDV,109,建,79,20220630,1","","6405309","7","24","13","8184863","21","8184863","27","0","1"
"KSDV,109,建,81,20260213,1","","117000000","20","600","13","22499888","15","12379911","27","1","1"
"KSDV,107,建,28,20221130,2","","508870777","5","347","18","839888","21","38480","27","1","1"
"TPHV,111,建上,33,20231212,1","","3110410","-3","22","7","2216599","6","1317158","22","1","1"
"TNHV,111,上更一,30,20230509,1","","","","188","18","932278","21","932278","27","0","1"
"CHDV,108,建,3,20210621,1","","4262175","0","94","13","5499846","21","5499846","27","0","1"
"KSHV,112,建上,5,20250226,2","","508839888","20","48","18","97226920","21","84649525","27","1","1"
"TPHV,109,建上,7,20230913,2","","43975188","20","30","13","11438984","21","8795038","27","1","1"
"TPHV,108,建上,20,20210331,1","","36928000","20","929","12","40700003","15","2564100","27","1","1"
"SLDV,112,建,32,20240626,1","","356380000","20","119","18","6815618","21","6815618","27","0","1"
"ULDV,112,建,10,20250529,1","","10489482","0","","","10489482","21","10489482","27","0","1"
"TCDV,110,建,45,20250912,2","","342038","15","19","13","21379167","21","21379167","27","0","1"
"TNDV,113,訴,1627,20251121,1","","27279000","20","8","13","27279000","15","1678689","27","1","1"
"TPDV,110,建,177,20220407,1","","8600000","20","30","7","1058423","21","1058423","27","0","1"
"CYDV,110,建,34,20250317,1","","70590","15","283","7","1302880","21","631890","27","1","1"
"TNHV,111,重上,118,20240424,1","","78660000","5","90","1","20006519","15","5980009","27","1","1"
"TNHV,113,建上,14,20250508,1","","3543378","0","48","13","3543378","21","3543378","27","0","1"
"CHDV,111,建,49,20251126,1","","4580000","20","294","12","2010000","21","1110002","22","1","1"
"TPDV,113,建,266,20251224,4","","47123810","20","1","10","174900","21","8962","27","1","1"
"TPDV,110,建,16,20230214,1","","54285523","20","23","18","2714276","15","2692562","22","1","1"
"KMDV,110,重訴,16,20230606,1","","38372445","12","487","7","7663613","21","3548000","22","1","1"
"KSHV,109,建上,10,20230823,1","","82850000","5","98","12","9268283","15","9199612","22","1","1"
"TPDV,112,建,171,20240913,2","","54401738","20","283","12","3079040","21","1812369","27","1","1"
"ULDV,113,建,10,20250630,1","","29640000","15","28","13","33557955","21","33557955","27","0","1"
"KSHV,109,建上,33,20220316,1","","7248666000","20","117","12","632825083","21","510942507","22","1","1"
"TCHV,111,建上更一,6,20220531,1","","26602465","20","355","7","5268293","21","5268293","27","0","1"
"ULDV,111,訴,67,20221004,1","","1565800","20","120","13","1565800","21","1221324","22","1","1"
"TPHV,107,建上,3,20250408,1","","9534937","20","9","18","23223904","6","9040000","27","1","1"
"PCDV,113,訴,1122,20250731,1","","984749","20","31","7","984749","15","720077","27","1","1"
"TCHV,111,建上,84,20241210,1","","3916593","20","200","12","3916593","13","3916593","27","0","1"
"TCHV,112,重上更三,10,20230728,1","","64082592","15","","","17000000","15","","","1","0"
"KSDV,110,建,49,20230823,1","","4919670","12","81","18","4919670","21","4919670","27","0","1"
"KSDV,112,訴,602,20250227,1","","22433400","20","412","12","9888000","21","9888000","27","0","1"
"TPDV,113,建,132,20260424,2","","72863168","20","21","7","72286885","21","72286885","27","0","1"
"TPDV,107,建,240,20240913,1","","3407250","20","100","7","1675856","21","1317006","27","1","1"
"TPDV,112,建,47,20240906,1","","2613339","0","426","7","1278000","21","1278000","27","0","1"
"TCDV,111,建,99,20241025,1","","","","44","18","3600000","21","","","1","0"
"KMHV,110,重上,3,20250221,2","","46445000","12","165","18","46445000","21","46445000","27","0","1"
"KSDV,109,訴,1349,20210122,4","","482000","12","31","7","10822000","21","970000","27","1","1"
"HLHV,111,建上更二,3,20230616,1","","10223000","15","101","13","2044600","21","644049","27","1","1"
"TCDV,108,建,142,20230815,1","","214200000","20","576","18","108750000","15","103080000","27","1","1"
"TPHV,113,建上,46,20250610,1","","70446175","12","21","13","30426783","21","4527978","27","1","1"
"PCDV,110,建,49,20230630,2","","698000","12","66","12","3528000","21","2430005","27","1","1"
"TPHV,107,建上,43,20220823,1","","81269886","0","23","6","97910051","6","967672","27","1","1"
"CYDV,109,建,13,20241118,6","","85275000","20","413","12","136290000","15","98448887","22","1","1"
"TPDV,107,建,335,20211229,2","","2999990","20","19","7","88575000","21","69841893","27","1","1"
"KSHV,114,上,88,20251217,1","","22433400","20","59","12","9888000","21","9888000","27","0","1"
"TPDV,111,建,106,20230119,1","","96156326","15","26","13","20007945","21","20007945","27","0","1"
"TCHV,106,建上,51,20230614,1","","55678045","5","12","7","55678045","21","38351706","14","1","1"
"TPHV,111,建上,61,20240416,1","","25605137","12","29","18","5438000","21","640128","22","1","1"
"TCDV,112,建,3,20240219,2","","6825000","20","119","13","1935235","21","1935235","27","0","1"
"TCDV,112,建,61,20240531,1","","3023257","20","80","18","2894737","21","1093257","27","1","1"
"SLDV,112,建,44,20240924,1","","608316","12","44","7","3339600","21","75900","22","1","1"
"TPHV,112,重上更一,108,20250319,1","","91797045","20","31","1","21390000","21","13553273","22","1","1"
"SCDV,113,建,6,20241231,1","","5003633","12","74","12","4107148","15","3996955","27","1","1"
"MLDV,109,建,21,20210128,1","","6662415","-3","250","6","6662415","21","6662415","27","0","1"
"TCDV,110,建,69,20230905,1","","32500000","20","16","7","32500000","21","8125000","14","1","1"
"ILDV,111,建,5,20221215,1","","4418419","12","717","12","464948","21","4948","27","1","1"
"ILDV,112,建,5,20240605,1","","86152333","20","26","7","670446175","21","70446175","27","1","1"
"TCDV,109,建,56,20240607,1","","5107858","12","77","12","593663","15","21732778","2","0","0"
"TNHV,106,建上,8,20210408,1","","115680","20","54","7","4232075","21","3856000","27","1","1"
"CHDV,110,建,4,20210430,1","","183748572","15","86","12","1422214","21","1422214","27","0","1"
"TCDV,111,建,15,20231226,1","","22162286","5","29","13","17087159","15","3510564","27","1","1"
"TNHV,106,建上,27,20220825,1","","52379254","7","107","1","52379254","15","176085","27","1","1"
"TNDV,110,建,51,20221130,1","","21525000","20","60","13","21525000","21","2000000","27","1","1"
"TCDV,111,建,84,20251110,2","","86142964","5","25","7","22557379","21","22557379","27","0","1"
"KSDV,110,建,48,20230620,1","","1050007","12","117","13","1883083","21","1425339","27","1","1"
"PTDV,109,建,33,20221027,1","","34079105","20","","","1310002","15","167946","27","1","1"
"TPDV,109,建,201,20251016,1","","8582018","20","200","12","9800330","21","9256316","22","1","1"
"CYDV,105,建,34,20220429,1","","43800000","12","210","1","8760000","21","8760000","27","0","1"
"TPDV,113,建,272,20260409,1","","1000000","20","45","18","1631200","6","1277599","22","1","1"
"TPHV,110,建上,64,20220622,1","","5446287","12","5","18","3593586","21","3593586","27","0","1"
"TNDV,107,建,76,20220614,3","","5750000","20","1","16","142000","21","142000","27","0","1"
"TYDV,109,建,43,20211129,1","","6580000","20","9","6","6800000","21","6051969","27","1","1"
"KSHV,114,建上更二,8,20260130,1","","164756650","20","16","13","28337571","21","142400","22","1","1"
"PCDV,109,建,4,20240524,1","","45707021","20","3","4","2842377","21","34737336","7","0","0"
"HLHV,110,建上,6,20220429,1","","120000","12","18","7","23482284","21","17395000","14","1","1"
"TNHV,111,建上更一,2,20240731,2","","4086012","20","10","12","2875607","21","2875607","27","0","1"
"ULDV,111,建,11,20231031,1","","55811800","20","31","1","3500000","21","8279009","-6","0","0"
"KMDV,110,建,4,20231110,1","","23161236","0","394","12","19797478","6","118700","22","1","1"
"TPDV,110,建,158,20231121,2","","72000000","20","1000","18","12420000","21","12420000","27","0","1"
"TPDV,110,建,251,20231027,1","","2520000","20","8","13","2520000","15","508904","22","1","1"
"TNHV,113,建上更一,6,20251113,1","","27284647","0","","","26465000","15","20955000","19","1","1"
"TNHV,109,建上更一,7,20211117,1","","6000","20","200","12","9142056","15","9142056","27","0","1"
"PCDV,106,建,92,20210113,1","","200000000","20","36","12","1860633","21","609249","27","1","1"
"CHDV,110,建,2,20260429,1","","26000000","15","285","6","26000000","15","26000000","22","0","1"
"KSHV,109,建上更一,6,20230215,3","","374609","15","21","7","5645231","15","4200062","22","1","1"
"TNHV,112,建上更二,1,20250625,1","","35605474","15","467","12","43533623","21","43533623","27","0","1"
"TPDV,111,建,314,20250826,1","","9428865","12","381","7","13148865","21","10453161","22","1","1"
"TNHV,109,上,370,20220609,2","","","","94","12","","","","","1","0"
"CYDV,111,重訴,20,20220823,1","","78660000","5","90","6","56367498650","21","20006519","19","1","1"
"HLHV,113,建上,5,20250207,1","","821250","20","144","18","788400","21","788400","27","0","1"
"TPHV,110,重上更一,166,20240730,1","","1567261","0","23","7","1463906","21","1463906","27","0","1"
"TPHV,107,重上,171,20210112,1","","82663600","20","25","13","16532720","21","16532720","27","0","1"
"TPHV,109,建上,42,20221129,1","","93135000","20","37","7","92259495","21","75455835","27","1","1"
"TNHV,110,建上更二,4,20250630,1","","40000000","20","184","18","10149355","21","2241331","22","1","1"
"TCDV,112,重訴,315,20240415,1","","","","1","10","8200333","21","8200333","27","0","1"
"TYDV,112,建,115,20250117,3","","2725000","12","30","13","2725000","15","2720005","19","1","1"
"TPHV,111,建上,43,20230830,1","","2999990","20","42","7","88575000","21","86451686","22","1","1"
"TCHV,112,建上更一,36,20240925,1","","2500","5","503","1","4134439","21","4134439","27","0","1"
"KSHV,109,建上更一,4,20241211,1","","152906719","20","624","12","28337571","21","7524736","22","1","1"
"TCDV,109,建,2,20220425,1","","24917168","5","120","13","24917168","21","24917168","27","0","1"
"TPHV,109,重上,904,20221026,1","","26412197","20","19","-5","1275000","15","637500","27","1","1"
"TPDV,112,建,183,20250110,1","","21485000","15","711","7","19552500","21","18574875","22","1","1"
"KMDV,111,訴,23,20231211,1","","394500","20","27","7","3268000","21","3268000","27","0","1"
"TPDV,111,建,209,20250214,1","","80000000","20","59","13","90367000","6","80000000","22","1","1"
"TPDV,112,建,258,20250214,1","","80000000","20","59","13","90367000","6","80000000","22","1","1"
"TPDV,106,建,59,20220324,2","","35218463","15","238","7","1290660","21","1290660","19","0","1"
"TPHV,110,重上,244,20220809,1","","","","996","7","1035000","21","996000","27","1","1"
"TPHV,112,重上,152,20250829,1","","7350000","20","41","7","1521660","21","1000","27","1","1"
"TCHV,106,建上,76,20230222,1","","18688800","5","19","7","18688800","21","3038890","27","1","1"
"SCDV,107,建,19,20211105,1","","31500000","5","5","13","31500","21","31500","27","0","1"
"TPDV,113,建,73,20251231,1","","1586155","20","69","12","13707000","21","4057960","27","1","1"
"SCDV,107,建,69,20210326,2","","106500","15","25","7","756000","21","709362","22","1","1"
"TNDV,109,建,13,20231110,1","","101680000","20","297","12","36365977","15","36365977","27","0","1"
"KMDV,109,訴,99,20210518,1","","8350000","20","58","12","854910","21","854910","27","0","1"
"KSDV,111,建,56,20260206,2","","8989117","0","116","18","8989117","21","377","27","1","1"
"CTDV,113,建,20,20260226,3","","10000","12","369","12","3690000","21","900000","27","1","1"
"TCHV,111,建上,69,20230728,1","","7867921","15","10","13","7867921","21","1841094","27","1","1"
"LCDV,109,重訴,3,20231227,1","","40799000","20","28","7","3988666","21","3988666","22","0","1"
"TPHV,111,建上,37,20240515,1","","39688880","12","21","1","5573161","21","5573161","27","0","1"
"TPDV,110,建,314,20230915,1","","24339315","12","3","10","4867863","21","1216965","22","1","1"
"TPDV,109,建,326,20221130,1","","1500000","15","117","13","1000000","7","565431","27","1","1"
"TCHV,110,建上更一,24,20211229,1","","17605353","15","110","7","11408268","15","2271091","27","1","1"
"KSHV,110,建上,17,20230621,2","","41079665","5","400","18","8911321","21","8911321","22","0","1"
"TYDV,111,簡上,255,20231130,1","","3880000","12","215","12","1000","21","1000","27","0","1"
"TPDV,113,重訴,740,20250724,1","","","","","","","","","","1","0"
"TNHV,110,建上,3,20230511,1","","306149","20","5","7","56936809","6","56936809","22","0","1"
"TPHV,111,建上,35,20231114,1","","83856029","20","22","7","8950000","21","1206","27","1","1"
"TPDV,111,訴,2529,20230704,1","","6010263","20","780","12","14064180","21","14064180","27","0","1"
"TPHV,112,建上,5,20240119,2","","49717500","5","294","7","14617092","21","12926680","27","1","1"
"TPHV,109,建上更一,24,20210629,1","","18649782","20","173","18","7673305","21","1759765","22","1","1"
"KSDV,109,建,67,20251031,2","","4499621","20","24","13","4171275","21","4002554","22","1","1"
"SCDV,110,建,15,20220520,1","","9016000","15","67","7","2927400","21","881280","27","1","1"
"KSHV,111,重上,94,20230222,2","","","","30","-5","9972762","6","","","1","0"
"KSDV,111,建,17,20230802,1","","1179921","0","41","12","3358868","15","2072302","22","1","1"
"TYDV,113,建,31,20250331,1","","3053297","20","61","7","558760","21","558760","27","0","1"
"TNDV,112,建,60,20250709,3","","","","25","7","","","","","1","0"
"TPDV,113,建,218,20260122,1","","5775000","20","99","12","5500000","21","5500000","27","0","1"
"TCHV,110,建上,68,20220615,1","","15440944","5","78","18","2134707","15","2134707","22","0","1"
"TYDV,109,建,96,20240628,1","","8557500","20","263","13","8557500","21","1066000","22","1","1"
"TCDV,109,重訴,648,20210128,1","","13689000","20","134","12","4487634","15","4487634","27","0","1"
"TPHV,109,建上,37,20211221,2","","53706764","12","5","12","20675041","21","20675041","27","0","1"
"TPHV,111,上更一,154,20230526,1","","4867000","5","15","7","4867000","21","890765","22","1","1"
"TCHV,111,建上更二,71,20231108,1","","52302161","0","14","13","17419430","6","15120000","27","1","1"
"TPDV,110,建,191,20231205,1","","9918710","20","10","13","20676300","21","20676300","27","0","1"
"KSHV,112,建上,23,20240304,1","","1700000","-8","117","18","1883083","21","1425339","27","1","1"
"TCHV,111,建上,54,20240730,1","","74488000","20","6","12","7114051","6","3830006","27","1","1"
"KSHV,112,建上,24,20250312,1","","320828","5","41","7","2138850","21","2138850","27","0","1"
"TNHV,109,建上,7,20211228,1","","153407000","20","133","18","3068140","21","3068140","27","0","1"
"TPDV,112,訴,902,20230817,3","","","","5","-5","2683037","21","2577500","27","1","1"
"TPDV,109,建,365,20210518,1","","","","18","-5","526593","21","","","1","0"
"TCDV,107,建,88,20230131,3","","30622257","20","30","1","636148","21","4562","27","1","1"
"TPDV,113,建,300,20251009,1","","36900000","20","60","12","70320000","15","1406400","22","1","1"
"PCDV,111,訴,2129,20230927,1","","","","7","12","1599360","21","1599360","27","0","1"
"TPHV,109,重上更一,58,20220428,1","","23520000","12","132","7","3392483","21","3392483","27","0","1"
"TYDV,110,建,111,20240719,2","","2049534","12","23","13","2049534","21","2049534","27","0","1"
"TCDV,108,建,75,20220428,1","","85125000","20","214","6","8138766","21","6782305","27","1","1"
"TPDV,113,建,301,20250731,1","","24471360","20","180","12","7032000","21","703200","27","1","1"
"TPHV,109,建上,98,20240123,3","","759704","-8","30","7","84529702","21","67331963","22","1","1"
"TPHV,110,建上,66,20240814,1","","591276","12","105","18","2394000","21","2394000","27","0","1"
"TPDV,111,建,305,20250613,1","","10810144","0","9","18","10810144","21","10810144","14","0","1"
"TCDV,113,建,23,20260304,1","","31960000","0","464","7","3000","21","3000","27","0","1"
"NTDV,110,建,8,20230327,1","","17487060","20","85","12","13211921","21","12800000","27","1","1"
"PCDV,106,建,81,20230731,1","","123000000","20","5","6","12577706","15","11960727","27","1","1"
"TPHV,113,建上,19,20251118,1","","66960000","0","30","13","12495023","21","4736880","27","1","1"
"SCDV,107,建,39,20231013,3","","70660000","20","465","7","3894907","21","3300000","22","1","1"
"TTDV,110,建,7,20251219,1","","","","478","12","1598350","21","1170150","27","1","1"
"SCDV,112,訴,461,20230727,1","","11764746","20","1","10","500","21","591763","-1","0","0"
"TPHV,111,建上,56,20230913,1","","1723716","20","5","18","1723716","21","1723716","27","0","1"
"TPDV,109,重訴,927,20220713,1","","","","29","7","60451613","6","27232000","22","1","1"
"TPDV,111,建,43,20240614,1","","49609872","20","2029","7","8150135","21","1390200","27","1","1"
"TPSV,114,台上,1536,20260204,1","","51498826","12","200","12","51498826","15","51498826","27","0","1"
"TPDV,113,建,223,20250814,1","","4422485","15","150","12","614151","21","614151","27","0","1"
"CTDV,112,建,22,20240410,1","","656750","12","82","13","4656750","21","4656750","27","0","1"
"TCHV,110,建上更一,29,20241127,1","","64720000","7","180","6","17965319","21","17965319","27","0","1"
"TPDV,111,建,324,20240621,2","","35175000","5","461","7","16750000","21","3177900","22","1","1"
"CYDV,110,建,9,20240319,1","","10077306","20","31","13","10077306","21","10077306","27","0","1"
"TPHV,109,上易,917,20210428,1","","","","16","7","1502000","15","1244000","27","1","1"
"ULDV,111,建,5,20230718,1","","4625000","20","23","7","1941973","21","1941973","27","0","1"
"HLDV,112,建,4,20250314,1","","3800","5","351","6","24507629","6","22721302","22","1","1"
"TPDV,113,建,271,20250812,1","","1993336","0","225","18","2860000","21","226128","22","1","1"
"TPDV,111,建,120,20230329,1","","4291576","20","2","11","2066233","21","2066233","22","0","1"
"TCDV,109,建,4,20210505,1","","8935500","20","247","12","2207069","21","893550","27","1","1"
"HLDV,111,建,18,20230530,2","","715500","-8","159","7","715500","21","715500","27","0","1"
"TCHV,111,建上更二,7,20230412,1","","27338434","0","70","18","27338434","21","27096501","27","1","1"
"CTDV,111,建,40,20240226,1","","43980000","15","5","18","87000","21","1095868","-6","0","0"
"PCDV,111,建,57,20240328,1","","23308396","20","29","7","1628262","21","5349","27","1","1"
"TPSV,113,台上,692,20250612,1","","3110410","-3","2","10","1440000","15","1262860","22","1","1"
"TYDV,112,重訴,147,20250822,1","","30225800","0","100","18","5702480","21","5702480","27","0","1"
"TCHV,109,建上,24,20221228,1","","57128276","15","38","1","6398747","21","6398747","27","0","1"
"TCDV,107,訴,1682,20240223,1","","2080000","5","229","7","416000","21","416000","27","0","1"
"TNHV,113,建上,1,20240702,1","","55881800","20","1","10","56277723","15","3500000","27","1","1"
"TPDV,110,建,230,20250613,1","","3600000","5","490","7","5292000","6","3088242","22","1","1"
"TPHV,109,建上,79,20230308,2","","","","22","12","89000000","21","19514250","27","1","1"
"PTDV,111,建,2,20240315,1","","15256000","20","272","7","17922210","21","17922210","27","0","1"
"KSHV,111,建上,8,20250827,1","","","","5","18","15114500","21","955342","14","1","1"
"ULDV,113,重訴,9,20240717,1","","","","5","12","2238322","21","2238322","27","0","1"
"CHDV,112,建,9,20241126,1","","28172800","12","635","7","19900694","6","1120005","27","1","1"
"KSDV,113,建,33,20250213,1","","5775000","20","1","10","577500","21","577500","27","0","1"
"SLDV,111,建,13,20250630,1","","2524500","5","15","12","5509683","21","5509683","27","0","1"
"TCHV,113,建上,48,20250829,2","","","","1133","7","8350200","21","8350200","27","0","1"
"KSHV,111,建上,7,20220615,1","","13642629","20","30","1","2728530","21","2087325","27","1","1"
"TNHV,110,建上,17,20230406,1","","","","","","20955000","21","20955000","27","0","1"
"TNDV,114,建,27,20260409,1","","6500000","20","51","13","331500","13","500","22","1","1"
"TPDV,111,建,86,20230113,1","","","","","","","","","","1","0"
"TNHV,111,建上,20,20250710,1","","10093000","15","210","1","10510627","21","8650626","22","1","1"
"ULDV,114,訴,88,20260210,1","","12717956","20","358","6","2543591","21","2543591","27","0","1"
"TCHV,110,建上,38,20220525,1","","","","","","9296070","15","","","1","0"
"TCDV,109,建,50,20240809,1","","14259661","0","30","12","10908375","6","9138937","22","1","1"
"TPDV,109,建,49,20250717,2","","50358210","20","179","7","1204987","15","1079987","27","1","1"
"TYDV,112,建,21,20240308,1","","7880730","20","174","12","7880730","15","7880730","27","0","1"
"TPSV,110,台上,2337,20220512,1","","90179952","0","231","12","11557673","21","11557673","27","0","1"
"TCHV,112,建上更二,35,20250924,1","","82251512","5","30","7","61590478","15","8530136","22","1","1"
"TCHV,108,建上,49,20210505,2","","30541080","12","360","18","30541080","21","24500000","22","1","1"
"TPHV,113,上,375,20241022,1","","41600000","5","17","7","1128208","21","41600000","2","0","0"
"TCHV,110,建上,2,20211215,1","","41045835","20","1","10","1840772","21","1840772","27","0","1"
"TPHV,110,建上,56,20220607,1","","44516853","12","156","18","7800000","21","4299800","14","1","1"
"CHDV,111,建,45,20230825,1","","6860000","12","283","7","6860000","21","5509980","27","1","1"
"TCDV,113,建,10,20250616,2","","5095000","12","28","7","19404408","21","19317877","27","1","1"
"PCDV,110,訴,2995,20230105,1","","1764000","12","66","12","10584000","21","4854000","27","1","1"
"TPDV,112,建,213,20250428,1","","9355440","12","207","7","1722146","6","1138850","27","1","1"
"TPHV,114,建上,2,20251125,1","","40780884","5","29","13","6815618","21","6815618","27","0","1"
"TPDV,111,建,42,20251229,2","","69999998","20","20","7","169999998","21","169999998","27","0","1"
"TPHV,111,重上,918,20230419,1","","75232905","0","11","7","33145987","21","31138957","22","1","1"
"KSHV,105,建上,24,20210126,3","","18206475","15","272","18","3056634","21","329537","27","1","1"
"TPHV,109,建上,53,20211116,1","","42840000","20","66","13","4651500","15","2827440","27","1","1"
"TNDV,110,建,45,20220608,2","","14474760","0","52","13","12682072","6","1100144","27","1","1"
"HLHV,111,建上更一,1,20231110,1","","20900000","20","297","7","4173101","21","522500","27","1","1"
"TPDV,114,建,249,20251215,1","","24792390","0","1","10","24792390","21","2390","14","1","1"
"TCDV,107,建,169,20210416,1","","18000000","20","103","13","15382847","21","15382847","27","0","1"
"TNDV,110,訴,341,20230922,1","","27090000","20","470","7","2709000","13","2530935","27","1","1"
"KSDV,109,建,66,20231213,1","","5092430","5","410","13","22376640","21","22376640","27","0","1"
"SCDV,105,建,45,20241220,1","","60394721","20","7","12","881549917","15","881549917","22","0","1"
"TNDV,113,建,76,20250227,3","","9650250","20","1","10","2000000","21","250","22","1","1"
"TCHV,112,建上,32,20251119,1","","17487060","15","154","18","17487060","21","17487060","27","0","1"
"TPDV,111,重訴,798,20250212,2","","","","661","12","480646","21","97423","14","1","1"
"TPHV,112,重上更一,115,20241204,1","","32888889","20","30","12","6000","15","4540","27","1","1"
"TPHV,113,建上,27,20241210,1","","1175000","5","26","7","9529970","21","9529970","27","0","1"
"KSDV,110,建,7,20231213,1","","5092430","5","410","13","22376640","21","22376640","27","0","1"
"TPDV,113,建,17,20240718,1","","1993490","20","30","7","6977250","21","6977250","27","0","1"
"TPHV,111,建上,46,20250114,1","","29044650","5","13","13","26444499","6","26444499","22","0","1"
"TCDV,113,建,12,20250528,1","","35948459","0","","","24459524","6","3155000","27","1","1"
"PCDV,113,訴,3583,20251013,2","","2780000","20","126","7","834000","21","834000","27","0","1"
"TNDV,114,建,8,20251121,1","","35605474","15","665","12","6000","15","6000","22","0","1"
"TPHV,109,建上,27,20211215,2","","8200000","12","212","13","8200000","21","8200000","27","0","1"
"CYDV,110,建,21,20221006,2","","2992824","0","400","6","1560000","15","450000","22","1","1"
"KSHV,112,建上更一,2,20231213,1","","13642629","20","30","1","11971446","21","3514183","27","1","1"
"TPSV,113,台上,2161,20250312,1","","3089415","12","54","7","4124075","21","3089415","19","1","1"
"TPSV,111,台上,1346,20230223,1","","27399000","20","5","18","23455781","21","2488798","22","1","1"
"SLDV,110,重訴,450,20230316,1","","","","22","7","11115000","21","11115000","27","0","1"
