JID,decision_year,split,court,JTITLE,annotation_priority,manual_checked,relevance_score,actual_is_reduced,predicted_is_reduced,reduction_probability,classification_correct,actual_remaining_ratio,actual_reduction_rate,actual_bucket,mean_predicted_remaining_ratio,ridge_predicted_remaining_ratio,ridge_predicted_reduction_rate,ridge_predicted_bucket,ridge_abs_error,lasso_predicted_remaining_ratio,lasso_predicted_reduction_rate,lasso_predicted_bucket,lasso_abs_error,mean_abs_error,top_classification_toward_reduction,top_classification_toward_no_reduction,top_ratio_toward_less_reduction_ridge,top_ratio_toward_more_reduction_ridge,similar_case_count,similar_labeled_count,similar_labeled_reduced_count,similar_avg_remaining_ratio,top_similar_cases,similar_shared_terms,similar_snippet_digest,source_json_file,explanation_note
"ULDV,111,訴,67,20221004,1",2022,train_2021_2023,臺灣雲林地方法院民事,給付工程款,34,ai_assumed,306,1,1,0.720163,1,0.78,0.22,小幅酌減,0.682156,0.646015,0.353985,中度酌減,0.1340,0.700192,0.299808,小幅酌減,0.0798,0.0978,業主可歸責爭點(0.521; 值=0.000)；AI 提示：業主可歸責(0.521; 值=0.000)；契約總價(log)(0.131; 值=14.264),每日違約金(-0.227; 值=13048.333)；主張違約金(log)(-0.170; 值=14.264)；業主已使用成果爭點(-0.156; 值=0.000),主張違約金(log)(0.097; 值=14.264)；業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000),業主可歸責爭點(-0.098; 值=0.000)；AI 提示：業主可歸責(-0.098; 值=0.000)；AI 候選金額數(-0.047; 值=26.000),5,4,3,0.8188,"#1 TPHV,109,建上,50,20230117,1(2023, 臺灣高等法院民事, score=0.9667)；#2 TPHV,111,建上,56,20230913,1(2023, 臺灣高等法院民事, score=0.9559)；#3 TYDV,109,建,32,20220408,1(2022, 臺灣桃園地方法院民事, score=0.9461)；#4 ULDV,113,建,3,20250620,2(2025, 臺灣雲林地方法院民事, score=0.9449)；#5 TPDV,105,建,293,20221130,3(2022, 臺灣臺北地方法院民事, score=0.9423)",過高;展延;工期;逾期;逾期違約金;違約金;遲延;可歸責;工程款;酌減;驗收;展期,"#1 TPHV,109,建上,50,20230117,1: 初驗後尚應進行複驗程序，複驗後還有交屋予 客戶之正驗（正式驗收）程序，階段不同，上訴人以其交屋 予買受人之日作為被上訴人初驗缺失改善完畢之日，亦有可 議，礙難採信，從而上訴人主張被上訴人遲誤15B初驗缺失 改善期間，應計逾期罰款7421萬…；#2 TPHV,111,建上,56,20230913,1: 工程逾期完工149 日，認伊應給付違約金共172萬3,716元，經抵扣系爭工程尾 款後，已無工程款得以請求。然系爭工程逾期係因被上訴人 要求不得於週間施工、梅雨季節無法施工及被上訴人要求停 工等不可歸責予伊之事由所致，扣除各該日數後，伊並…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202210/臺灣雲林地方法院民事/ULDV,111,訴,67,20221004,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPDV,105,建,293,20221130,3",2022,train_2021_2023,臺灣臺北地方法院民事,給付違約金等,35,ai_assumed,460,1,1,0.887572,1,0.99994,0.00006,未酌減,0.682156,0.812901,0.187099,小幅酌減,0.1870,0.743974,0.256026,小幅酌減,0.2560,0.3178,契約總價(log)(1.109; 值=0.000)；實際損害不明爭點(0.504; 值=0.000)；AI 提示：實際損害不明(0.504; 值=0.000),逾期天數(-0.271; 值=30.000)；每日違約金(-0.158; 值=207700.767)；業主已使用成果爭點(-0.156; 值=0.000),契約總價(log)(0.107; 值=0.000)；逾期天數(0.057; 值=30.000)；主張違約金(log)(0.034; 值=15.645),AI 候選金額數(-0.069; 值=24.000)；實際損害不明爭點(-0.037; 值=0.000)；AI 提示：實際損害不明(-0.037; 值=0.000),5,3,2,0.6009,"#1 KMDV,109,訴,99,20210518,1(2021, 福建金門地方法院民事, score=0.9508)；#2 CTDV,111,建,40,20240226,1(2024, 臺灣橋頭地方法院民事, score=0.9457)；#3 ULDV,111,訴,67,20221004,1(2022, 臺灣雲林地方法院民事, score=0.9423)；#4 SLDV,112,建,44,20240924,1(2024, 臺灣士林地方法院民事, score=0.9404)；#5 TNHV,113,建上,14,20250508,1(2025, 臺灣高等法院臺南分院民事, score=0.9345)",展延;逾期;逾期違約金;違約金;遲延;工期;可歸責;驗收;過高;酌減;issue_partial_completion;issue_extension_request,"#1 KMDV,109,訴,99,20210518,1: ，被告雖無法滿足原告全部請求，然此亦 足以間接說明，其認同原告確有因天候因素影響無法施工之 情形，僅兩造認知有程度上落差爾，已足證原告確係因高雄 地區連日大雨而遲誤，仍不具可歸責性，縱認原告有可歸責 之事由，原告違約之情節尚屬輕微，未造成…；#2 CTDV,111,建,40,20240226,1: ㈠被告以系爭工程逾期21.5日扣款947,868元，有無理由？ ㈡原告是否得主張應展延（免計）工期68日？ ㈢被告是否得以工地現場發現29支酒精空瓶扣款87,000元？ ㈣被告是否得以專任工程人員未符合報核程序扣款31,000元？ ㈤被告…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202211/臺灣臺北地方法院民事/TPDV,105,建,293,20221130,3.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"KSDV,107,建,28,20221130,2",2022,train_2021_2023,臺灣高雄地方法院民事,給付工程款,36,ai_assumed,350,1,1,0.576405,1,0.045816,0.954184,全免或近乎全免,0.682156,0.643569,0.356431,中度酌減,0.5978,0.690799,0.309201,中度酌減,0.6450,0.6363,逾期天數(0.221; 值=347.000)；業主已使用成果爭點(0.165; 值=1.000)；AI 提示：業主已使用成果(0.165; 值=1.000),契約總價(log)(-0.266; 值=20.048)；每日違約金(-0.231; 值=2420.427)；主張違約金(log)(-0.220; 值=13.641),主張違約金(log)(0.125; 值=13.641)；業主可歸責爭點(0.014; 值=1.000)；AI 提示：業主可歸責(0.014; 值=1.000),AI 候選金額數(-0.058; 值=25.000)；逾期天數(-0.044; 值=347.000)；業主已使用成果爭點(-0.034; 值=1.000),5,2,0,1.0000,"#1 TPSV,110,台上,2337,20220512,1(2022, 最高法院民事, score=0.9426)；#2 TPSV,111,台上,1346,20230223,1(2023, 最高法院民事, score=0.92)；#3 CTDV,111,建,40,20240226,1(2024, 臺灣橋頭地方法院民事, score=0.9187)；#4 TYDV,109,建,32,20220408,1(2022, 臺灣桃園地方法院民事, score=0.9147)；#5 TNHV,113,建上,14,20250508,1(2025, 臺灣高等法院臺南分院民事, score=0.9131)",展延;工期;逾期;違約金;逾期違約金;變更設計;過高;驗收;issue_extension_request;工程款;酌減;可歸責,"#1 TPSV,110,台上,2337,20220512,1: 文史書案有 無違約，應與主體工程分別以觀，即應依第2 次變更設計所約定 之工期（102年2月4日前）完工。日興公司於102年12月15日提送 文史書案第10版，始經水利局於同年月23日函覆准予備查，自應 以此日為完工日，惟日興公司遲至10…；#2 TPSV,111,台上,1346,20230223,1: 系爭工程於95年11月18日完 工，並未逾期，新北市政府竟不當核定伊竣工日期為96年3月1日 ，且僅就附表項次二編號①至④、⑥至⑩等事由展延工期196.5天， 進而認定伊逾期完工162.5天，對伊扣罰逾期違約金2,547萬9,80 0元（…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202211/臺灣高雄地方法院民事/KSDV,107,建,28,20221130,2.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPHV,110,建上,9,20221230,1",2022,train_2021_2023,臺灣高等法院民事,給付工程款,37,ai_assumed,447,0,1,0.839627,0,1,0,未酌減,0.682156,0.501969,0.498031,中度酌減,0.4980,0.519353,0.480647,中度酌減,0.4806,0.3178,逾期天數(0.636; 值=614.000)；實際損害不明爭點(0.504; 值=0.000)；AI 提示：實際損害不明(0.504; 值=0.000),每日違約金(-0.184; 值=136514.020)；業主已使用成果爭點(-0.156; 值=0.000)；AI 提示：業主已使用成果(-0.156; 值=0.000),AI 候選金額數(0.041; 值=34.000)；業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000),逾期天數(-0.128; 值=614.000)；主張違約金(log)(-0.084; 值=18.244)；實際損害不明爭點(-0.037; 值=0.000),5,3,1,0.5229,"#1 PCDV,109,建,4,20240524,1(2024, 臺灣新北地方法院民事, score=0.9238)；#2 TPDV,105,建,400,20211227,1(2021, 臺灣臺北地方法院民事, score=0.8997)；#3 KSDV,107,建,28,20221130,2(2022, 臺灣高雄地方法院民事, score=0.895)；#4 TNHV,110,建上,3,20230511,1(2023, 臺灣高等法院臺南分院民事, score=0.8787)；#5 TPSV,110,台上,2337,20220512,1(2022, 最高法院民事, score=0.876)",展延;工期;逾期;違約金;逾期違約金;工程款;驗收;可歸責;展期;承攬;追加工程;契約變更,"#1 PCDV,109,建,4,20240524,1: 限，不僅其罰則遠高於 一般工程契約習慣所約定之千分之1，其罰款總額更係毫無 上限，依被告於109年3月12日提出之民事答辯狀第3頁之計 算，被告主張之逾期罰款甚至高於系爭契約之承包總價。退 萬步言之，縱認原告有逾期之事實，系爭契約所約定之…；#2 TPDV,105,建,400,20211227,1: 業因受領系爭工程而推定拋棄其權利，不得再以逾期為由主 張扣款。又本件逾期違約金性質屬民法第250條第2項規定之 損害賠償總額預定性違約金，以債權人受有損害時方能請求 ，被告應舉證受有何種損害，否則不得請求。原告已將系爭 工程全部完成並交由…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202212/臺灣高等法院民事/TPHV,110,建上,9,20221230,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"CYDV,109,建,4,20230109,3",2023,train_2021_2023,臺灣嘉義地方法院民事,給付工程款,38,ai_assumed,1576,0,1,0.542082,0,1,0,未酌減,0.682156,0.761803,0.238197,小幅酌減,0.2382,0.756748,0.243252,小幅酌減,0.2433,0.3178,業主已使用成果爭點(0.165; 值=1.000)；AI 提示：業主已使用成果(0.165; 值=1.000)；展延申請爭點(0.089; 值=1.000),逾期天數(-0.307; 值=7.000)；實際損害不明爭點(-0.124; 值=1.000)；AI 提示：實際損害不明(-0.124; 值=1.000),逾期天數(0.065; 值=7.000)；主張違約金(log)(0.060; 值=15.065)；業主可歸責爭點(0.014; 值=1.000),業主已使用成果爭點(-0.034; 值=1.000)；AI 提示：業主已使用成果(-0.034; 值=1.000)；展延申請爭點(-0.015; 值=1.000),5,5,4,0.5068,"#1 TCDV,109,建,95,20210415,1(2021, 臺灣臺中地方法院民事, score=0.935)；#2 TNHV,110,建上,18,20251226,1(2025, 臺灣高等法院臺南分院民事, score=0.9241)；#3 TPHV,111,建上,33,20231212,1(2023, 臺灣高等法院民事, score=0.9239)；#4 TCDV,110,建,70,20251128,1(2025, 臺灣臺中地方法院民事, score=0.9237)；#5 CHDV,111,建,48,20250619,1(2025, 臺灣彰化地方法院民事, score=0.9236)",過高;酌減;展延;工期;逾期;逾期違約金;違約金;遲延;公共工程;契約變更;驗收;民法第252條,"#1 TCDV,109,建,95,20210415,1: （七）按解釋契約，固須探求當事人立約時之真意，不能拘泥於 契約之文字，但契約之文字已表示當事人真意，無須別事 探求者，即不得反捨契約文字而更為曲解。系爭契約既已 明定系爭逾期違約金為「損害賠償額預定性違約金」，本 件違約金即應受損害賠償機…；#2 TNHV,110,建上,18,20251226,1: 份有限公司00230工程採購投標須知（下稱工程採購投標須 知）第5條第㈢款、99年12月29日採購契約要項（下稱採購契 約要項）第48點第㈡款之規定，縱使上訴人有逾分期之進度 ，但未逾最後竣工期限，被上訴人應將已收取之違約金共計 2,31…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣嘉義地方法院民事/CYDV,109,建,4,20230109,3.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPHV,109,建上,50,20230117,1",2023,train_2021_2023,臺灣高等法院民事,給付工程款,39,ai_assumed,477,1,1,0.769487,1,0.984046,0.015954,小幅酌減,0.682156,0.714582,0.285418,小幅酌減,0.2695,0.69648,0.30352,中度酌減,0.2876,0.3019,每日違約金(1.432; 值=4713680.000)；主張違約金(log)(0.145; 值=18.139)；展延申請爭點(0.089; 值=1.000),逾期天數(-0.293; 值=16.000)；業主已使用成果爭點(-0.156; 值=0.000)；AI 提示：業主已使用成果(-0.156; 值=0.000),逾期天數(0.062; 值=16.000)；業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000),主張違約金(log)(-0.080; 值=18.139)；每日違約金(-0.018; 值=4713680.000)；展延申請爭點(-0.015; 值=1.000),5,5,2,0.7560,"#1 ULDV,111,訴,67,20221004,1(2022, 臺灣雲林地方法院民事, score=0.9667)；#2 TYDV,109,建,32,20220408,1(2022, 臺灣桃園地方法院民事, score=0.9612)；#3 TCDV,107,建,70,20220317,4(2022, 臺灣臺中地方法院民事, score=0.9538)；#4 TPDV,113,建,132,20260424,2(2026, 臺灣臺北地方法院民事, score=0.9498)；#5 TPHV,109,建上,85,20250422,1(2025, 臺灣高等法院民事, score=0.947)",過高;展延;工期;逾期;逾期違約金;違約金;遲延;可歸責;工程款;酌減;驗收;展期,"#1 ULDV,111,訴,67,20221004,1: 有18日發生6.4 m/s以上風速，實不只2個 半日，被告僅同意展延1日，即有違誤。 ⒊承上，系爭工程如經展延合理工期95日（等待被告確認堆置 區62日+天候影響無法施工33日，共95日），即無逾期，不 應課予逾期違約金1,565,800…；#2 TYDV,109,建,32,20220408,1: 入之展延天數21.5天+被告應展延卻未展延之天數10.5日＝ 122日），原告實際於「B760體育館工區」使用工期為254天，故就「B760體育館工區」逾期天數應為132天。 ⒋再者，被告依系爭契約第18條以每日1%計算逾期違約金，未 審…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣高等法院民事/TPHV,109,建上,50,20230117,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPDV,111,建,106,20230119,1",2023,train_2021_2023,臺灣臺北地方法院民事,確認工程款債權存在等,40,ai_assumed,271,0,0,0.25173,1,1,0,未酌減,0.682156,0.951045,0.048955,小幅酌減,0.0490,0.881486,0.118514,小幅酌減,0.1185,0.3178,業主已使用成果爭點(0.165; 值=1.000)；AI 提示：業主已使用成果(0.165; 值=1.000)；每日違約金(0.040; 值=769536.346),展延申請爭點(-0.562; 值=0.000)；AI 提示：展延申請(-0.562; 值=0.000)；逾期天數(-0.277; 值=26.000),展延申請爭點(0.106; 值=0.000)；AI 提示：展延申請(0.106; 值=0.000)；逾期天數(0.059; 值=26.000),業主已使用成果爭點(-0.034; 值=1.000)；AI 提示：業主已使用成果(-0.034; 值=1.000)；主張違約金(log)(-0.019; 值=16.812),5,1,0,1.0000,"#1 CHDV,108,建,3,20210621,1(2021, 臺灣彰化地方法院民事, score=0.9531)；#2 TPHV,112,重上更一,73,20240813,2(2024, 臺灣高等法院民事, score=0.9427)；#3 TPDV,111,建,279,20240226,2(2024, 臺灣臺北地方法院民事, score=0.9349)；#4 TNHV,112,建上更二,1,20250625,1(2025, 臺灣高等法院臺南分院民事, score=0.9288)；#5 TPHV,112,建上,45,20250326,1(2025, 臺灣高等法院民事, score=0.9269)",過高;酌減;工期;逾期;違約金;逾期違約金;保留款;工程款;承攬;驗收;遲延;可歸責,"#1 CHDV,108,建,3,20210621,1: 計算式：58,509×94=5,499,846) 。 4.又原告於施作系爭清水工程時，因原告施作之板模平整度不 足，導致混凝土澆置後壁面歪斜，造成地磚與牆面前後切割 尺寸發生差異，被告委請矽利康為地磚與牆歪斜面做填補收 尾，支出31,85…；#2 TPHV,112,重上更一,73,20240813,2: 制債 務之履行為目的，此種違約金於債務人不履行債務時，債權 人除得請求違約金外，並得請求債務不履行之損害賠償。而 當事人所約定之違約金究屬何性質，應依當事人之意思定之 ，倘當事人未約定，則視為以預定債務不履行之損害賠償額 為目的，此觀民法…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣臺北地方法院民事/TPDV,111,建,106,20230119,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPHV,107,建上,38,20230221,1",2023,train_2021_2023,臺灣高等法院民事,給付違約金等,41,ai_assumed,546,0,0,0.453808,1,1,0,未酌減,0.682156,0.833387,0.166613,小幅酌減,0.1666,0.780855,0.219145,小幅酌減,0.2191,0.3178,每日違約金(0.280; 值=1450374.692)；主張違約金(log)(0.089; 值=17.445)；展延申請爭點(0.089; 值=1.000),逾期天數(-0.277; 值=26.000)；AI 候選金額數(-0.171; 值=36.000)；業主已使用成果爭點(-0.156; 值=0.000),AI 候選金額數(0.063; 值=36.000)；逾期天數(0.059; 值=26.000)；業主已使用成果爭點(0.034; 值=0.000),主張違約金(log)(-0.048; 值=17.445)；展延申請爭點(-0.015; 值=1.000)；AI 提示：展延申請(-0.015; 值=1.000),5,5,4,0.4260,"#1 TPHV,109,建上,85,20250422,1(2025, 臺灣高等法院民事, score=0.98)；#2 ULDV,113,建,3,20250620,2(2025, 臺灣雲林地方法院民事, score=0.9742)；#3 TCHV,108,建上,22,20210421,1(2021, 臺灣高等法院臺中分院民事, score=0.9551)；#4 TYDV,109,建,32,20220408,1(2022, 臺灣桃園地方法院民事, score=0.9548)；#5 HLHV,111,建上更二,3,20230616,1(2023, 臺灣高等法院花蓮分院民事, score=0.9546)",展延;工期;逾期;逾期違約金;違約金;遲延;可歸責;酌減;驗收;過高;變更設計;工程款,"#1 TPHV,109,建上,85,20250422,1: 天為由，依 系爭契約第17條第1項約定對伊有逾期違約金債權新臺幣（ 下同）1億5,149萬8,826元，於108年6月17日逕自應給付伊 之工程款扣抵，並開立繳款書收據予伊。然系爭工程施工期 間有如附表一所示不可歸責於伊之展延或免計工期事…；#2 ULDV,113,建,3,20250620,2: 事 由，卻將增加及延誤工期之不利益歸由原告承擔，顯非公平 ，被告就原告之處罰實屬不當，自應依民法不當得利之規定 返還原告違約金罰款551萬5,288元。退而言之，被告依系爭 契約第17條第4項之約定，以契約價金20％為上限處以原告逾 期違…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202302/臺灣高等法院民事/TPHV,107,建上,38,20230221,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPDV,110,建,16,20230214,1",2023,train_2021_2023,臺灣臺北地方法院民事,給付工程款等,42,ai_assumed,317,1,1,0.742149,1,0.992,0.008,未酌減,0.682156,0.735236,0.264764,小幅酌減,0.2568,0.759936,0.240064,小幅酌減,0.2321,0.3098,實際損害不明爭點(0.504; 值=0.000)；AI 提示：實際損害不明(0.504; 值=0.000)；業主已使用成果爭點(0.165; 值=1.000),逾期天數(-0.282; 值=23.000)；每日違約金(-0.190; 值=118012.000)；AI 候選金額數(-0.171; 值=36.000),主張違約金(log)(0.072; 值=14.814)；AI 候選金額數(0.063; 值=36.000)；逾期天數(0.059; 值=23.000),實際損害不明爭點(-0.037; 值=0.000)；AI 提示：實際損害不明(-0.037; 值=0.000)；業主已使用成果爭點(-0.034; 值=1.000),5,0,0,,"#1 TPDV,109,建,357,20230810,1(2023, 臺灣臺北地方法院民事, score=0.9301)；#2 KSDV,108,建,83,20220517,1(2022, 臺灣高雄地方法院民事, score=0.93)；#3 TNDV,109,建,13,20231110,1(2023, 臺灣臺南地方法院民事, score=0.9294)；#4 TPDV,111,建,209,20250214,1(2025, 臺灣臺北地方法院民事, score=0.9247)；#5 TPDV,112,建,258,20250214,1(2025, 臺灣臺北地方法院民事, score=0.9247)",工期;逾期;逾期違約金;違約金;完工期限;展延;工程款;承攬;追加工程;遲延;驗收;酌減,"#1 TPDV,109,建,357,20230810,1: 單記載「本公司友情支持：...2 間浴室修補」所含括，鑑定意見洵屬可採，原告此部分主 張，尚非可採。 ⑵項次36「追加餐廳木作吧檯設計」部分： 鑑定意見認為此項價金為3萬5000元（參鑑定報告書附件 三第5頁），原告雖主張鑑定意見認伊追加…；#2 KSDV,108,建,83,20220517,1: 上限，似有過苛，爰審酌系爭工程約定承包商利潤為總 價5%、管理費為總價2%，有工程報價單可憑，以強制債務 履行之目的，扣罰相當於利潤及管理費之數額，即總價7% ，應屬已足。反訴原告主張逾期違約金按逾期日數計算， 逾期149日，相當於總價1…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202302/臺灣臺北地方法院民事/TPDV,110,建,16,20230214,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPDV,107,建,250,20230331,1",2023,train_2021_2023,臺灣臺北地方法院民事,給付工程款,43,ai_assumed,398,1,1,0.877649,1,0.01958,0.98042,全免或近乎全免,0.682156,0.376367,0.623633,中度酌減,0.3568,0.411016,0.588984,中度酌減,0.3914,0.6626,逾期天數(0.709; 值=661.000)；實際損害不明爭點(0.504; 值=0.000)；AI 提示：實際損害不明(0.504; 值=0.000),契約總價(log)(-0.254; 值=19.878)；業主已使用成果爭點(-0.156; 值=0.000)；AI 提示：業主已使用成果(-0.156; 值=0.000),業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000)；AI 候選金額數(0.019; 值=32.000),主張違約金(log)(-0.159; 值=19.878)；逾期天數(-0.143; 值=661.000)；實際損害不明爭點(-0.037; 值=0.000),5,1,1,0.9137,"#1 TPDV,112,建,114,20250430,1(2025, 臺灣臺北地方法院民事, score=0.9347)；#2 KSHV,114,建上更二,8,20260130,1(2026, 臺灣高等法院高雄分院民事, score=0.9269)；#3 TPSV,112,台上,1671,20240828,1(2024, 最高法院民事, score=0.9196)；#4 PCDV,108,重訴,559,20250718,1(2025, 臺灣新北地方法院民事, score=0.9141)；#5 KSHV,111,建上,8,20250827,1(2025, 臺灣高等法院高雄分院民事, score=0.9118)",展延;工期;逾期;逾期違約金;違約金;遲延;可歸責;履約保證金;變更設計;酌減;過高;驗收,"#1 TPDV,112,建,114,20250430,1: 公司於108年11 月20日進行申挖時，發現外管線接管設計有誤，無法進行外 管線接管作業。經大台北瓦斯公司檢討，於109年1月14日重 新申挖完成瓦斯外管線接管作業。 ③綜上，因消防設備變更、瓦斯管線作業延宕，以致109年4月1 日方通過…；#2 KSHV,114,建上更二,8,20260130,1: 然系爭工 程因天候因素、變更設計、上訴人遲延發放地主即訴外人高 秀娣補償金，與未及時完成A0+039處排水箱涵及周圍影響部 分變更設計、抗風索基礎變更設計等事由，應不計工期共計 624日，是伊無逾期完工情事；縱有逾期，上訴人依系爭契 約第…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202303/臺灣臺北地方法院民事/TPDV,107,建,250,20230331,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPHV,111,建上,4,20230412,2",2023,train_2021_2023,臺灣高等法院民事,給付工程款,44,ai_assumed,576,1,0,0.459194,0,0.165225,0.834775,大幅酌減,0.682156,0.867337,0.132663,小幅酌減,0.7021,0.813574,0.186426,小幅酌減,0.6483,0.5169,契約總價(log)(0.235; 值=12.745)；展延申請爭點(0.089; 值=1.000)；AI 提示：展延申請(0.089; 值=1.000),每日違約金(-0.217; 值=43134.298)；逾期天數(-0.172; 值=94.000)；業主已使用成果爭點(-0.156; 值=0.000),主張違約金(log)(0.054; 值=15.215)；逾期天數(0.037; 值=94.000)；業主已使用成果爭點(0.034; 值=0.000),AI 候選金額數(-0.025; 值=28.000)；展延申請爭點(-0.015; 值=1.000)；AI 提示：展延申請(-0.015; 值=1.000),5,5,4,0.4903,"#1 TNHV,109,建上更一,3,20210420,1(2021, 臺灣高等法院臺南分院民事, score=0.9612)；#2 TPHV,109,建上,7,20230913,2(2023, 臺灣高等法院民事, score=0.9564)；#3 TPHV,109,建上,85,20250422,1(2025, 臺灣高等法院民事, score=0.955)；#4 TPHV,111,建上,33,20231212,1(2023, 臺灣高等法院民事, score=0.9528)；#5 TPDV,107,建,379,20211125,1(2021, 臺灣臺北地方法院民事, score=0.9495)",過高;展延;工期;逾期;逾期違約金;違約金;遲延;酌減;承攬;變更設計;驗收;完工期限,"#1 TNHV,109,建上更一,3,20210420,1: 予累計）。又系爭工程已於101年3月7日完成全部工程，被 上訴人以磁磚有一小部分貼附錯誤為由要求伊重新貼附，並 以重新貼附完成日即101年3月11日為停工日，致錯誤多計算 4天逾期工期。再被上訴人驗收期程亦不合理，致多認定逾 期22天。而…；#2 TPHV,109,建上,7,20230913,2: 0日、所裝設之台電高壓用電設備經列為缺失 而未改善、未依約投保為由，分別自應付予伊公司之價款中扣 減逾期違約金8,795,038元、台電高壓用電設備費用633,691元 ，及保險費19,482元。惟系爭工程有應展延工期之情事，故伊 公司實…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202304/臺灣高等法院民事/TPHV,111,建上,4,20230412,2.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TNHV,111,上更一,30,20230509,1",2023,train_2021_2023,臺灣高等法院臺南分院民事,履行契約,45,ai_assumed,349,0,1,0.764259,0,1,0,未酌減,0.682156,0.799998,0.200002,小幅酌減,0.2000,0.741396,0.258604,小幅酌減,0.2586,0.3178,契約總價(log)(1.109; 值=0.000)；AI 候選金額數(0.496; 值=11.000)；展延申請爭點(0.089; 值=1.000),每日違約金(-0.230; 值=4958.926)；主張違約金(log)(-0.212; 值=13.745)；業主已使用成果爭點(-0.156; 值=0.000),主張違約金(log)(0.121; 值=13.745)；契約總價(log)(0.107; 值=0.000)；業主已使用成果爭點(0.034; 值=0.000),AI 候選金額數(-0.213; 值=11.000)；展延申請爭點(-0.015; 值=1.000)；AI 提示：展延申請(-0.015; 值=1.000),5,0,0,,"#1 TNHV,109,上,370,20220609,2(2022, 臺灣高等法院臺南分院民事, score=0.9838)；#2 TPSV,111,台上,2443,20221102,1(2022, 最高法院民事, score=0.9185)；#3 TPHV,110,重上,501,20230711,1(2023, 臺灣高等法院民事, score=0.9087)；#4 KSDV,111,建,56,20260206,2(2026, 臺灣高雄地方法院民事, score=0.9015)；#5 HLDV,110,建,8,20220607,2(2022, 臺灣花蓮地方法院民事, score=0.8803)",過高;工期;逾期;違約金;遲延;酌減;可歸責;變更設計;展延;民法第二百五十二條;issue_owner_fault;完工期限,"#1 TNHV,109,上,370,20220609,2: 主管機關命領回申請後再重新送件所致，故此申請核發使用 執照審核期間係屬不可歸責伊之事由，應不予計入遲延日數 。㈢系爭契約第11條第2項約定「賣方如逾前期限未開工或未 取得使用執照者，每逾一日應按已繳房地價款依萬分之五單 利計算遲延利息予買…；#2 TPSV,111,台上,2443,20221102,1: 扣除9日）、因天候及停電等因素 停工之日數，應再扣除44.5日（已扣除49.5日）、因變更設 計必須辦理相關建造執照施工圖面變更，主管機關審查期間 77日、主管機關辦理使用執照審查期間60日，均屬不可歸責 於伊之事由，不應計入遲延日數。再…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202305/臺灣高等法院臺南分院民事/TNHV,111,上更一,30,20230509,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
